"order_id,user_id,restaurant_id,order_date,total_amount,restaurant_name_x,name,city,membership,restaurant_name_y,cuisine,rating"
"1,1.0,450,18-02-2023,842.97,New Foods Chinese,User_1,Chennai,Regular,Restaurant_450,Mexican,3.2"
"2,2.0,309,18-01-2023,546.68,Ruchi Curry House Multicuisine,User_2,Pune,Gold,Restaurant_309,Indian,4.5"
"3,3.0,107,15-07-2023,163.93,Spice Kitchen Punjabi,User_3,Bangalore,Gold,Restaurant_107,Mexican,4.0"
"4,4.0,224,04-10-2023,1155.97,Darbar Kitchen Non-Veg,User_4,Bangalore,Regular,Restaurant_224,Chinese,4.8"
"5,5.0,293,25-12-2023,1321.91,Royal Eatery South Indian,User_5,Pune,Gold,Restaurant_293,Italian,3.0"
"6,6.0,499,12-07-2023,1497.22,Annapurna Tiffins South Indian,User_6,Pune,Gold,Restaurant_499,Mexican,4.9"
"7,7.0,35,30-05-2023,129.21,Royal Biryani North Indian,User_7,Chennai,Gold,Restaurant_35,Chinese,3.9"
"8,8.0,57,07-11-2023,269.19,Spice Mess Punjabi,User_8,Hyderabad,Regular,Restaurant_57,Mexican,4.4"
"9,9.0,7,05-12-2023,953.3,Ruchi Biryani Punjabi,User_9,Bangalore,Gold,Restaurant_7,Italian,3.2"
"10,10.0,183,30-12-2023,351.41,Taste of Biryani Non-Veg,User_10,Chennai,Regular,Restaurant_183,Chinese,3.7"
"11,11.0,235,10-12-2023,523.82,Amma Delights Family Restaurant,User_11,Chennai,Gold,Restaurant_235,Italian,4.5"
"12,12.0,423,27-10-2023,1484.65,Royal Tiffins Multicuisine,User_12,Pune,Regular,Restaurant_423,Indian,3.2"
"13,13.0,244,11-08-2023,216.59,Amma Tiffins South Indian,User_13,Chennai,Gold,Restaurant_244,Italian,4.3"
"14,14.0,112,24-09-2023,898.24,Grand Cafe Punjabi,User_14,Bangalore,Gold,Restaurant_112,Chinese,3.2"
"15,15.0,383,17-07-2023,1098.41,Amma Biryani North Indian,User_15,Bangalore,Regular,Restaurant_383,Indian,3.1"
"16,16.0,149,17-07-2023,475.74,Amma Restaurant South Indian,User_16,Chennai,Gold,Restaurant_149,Mexican,3.6"
"17,17.0,421,09-04-2023,1002.51,Ruchi Foods Chinese,User_17,Hyderabad,Regular,Restaurant_421,Indian,3.0"
"18,18.0,414,23-04-2023,736.89,Darbar Delights South Indian,User_18,Bangalore,Regular,Restaurant_414,Chinese,4.7"
"19,19.0,73,27-12-2023,392.59,Spice Mess Andhra,User_19,Hyderabad,Regular,Restaurant_73,Mexican,3.1"
"20,20.0,52,03-02-2023,362.01,Udupi Curry House South Indian,User_20,Hyderabad,Gold,Restaurant_52,Mexican,4.9"
"21,21.0,186,13-08-2023,743.68,Darbar Restaurant North Indian,User_21,Bangalore,Gold,Restaurant_186,Indian,4.3"
"22,22.0,279,12-07-2023,507.82,Sri Tiffins Andhra,User_22,Bangalore,Regular,Restaurant_279,Italian,4.9"
"23,23.0,83,14-06-2023,1025.36,Darbar Mess Pure Veg,User_23,Chennai,Regular,Restaurant_83,Chinese,3.5"
"24,24.0,434,22-01-2023,412.5,Amma Kitchen Punjabi,User_24,Hyderabad,Regular,Restaurant_434,Italian,4.7"
